epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.9234,2.33252,3.20277,1.85349,0.41257,0.39318,0.313,0.11649,2.18098,3.7056,1.72695,0.0002375,0.0002375,0.0002375
2,113.893,2.11914,2.10921,1.74569,0.52697,0.40185,0.41907,0.17346,2.16918,1.89038,1.71374,0.000487017,0.000487017,0.000487017
3,155.428,2.10729,1.86862,1.70264,0.51665,0.39444,0.40927,0.15831,2.27163,1.90934,1.92882,0.00073604,0.00073604,0.00073604
4,196.885,2.08425,1.78645,1.72057,0.47786,0.35786,0.32077,0.12985,2.34577,2.40548,2.13398,0.000984567,0.000984567,0.000984567
5,238.493,2.06884,1.69839,1.71651,0.66502,0.41956,0.48574,0.21616,2.21696,1.99076,1.86252,0.0012326,0.0012326,0.0012326
6,278.644,2.04606,1.6143,1.67534,0.57605,0.50873,0.49958,0.19936,2.31229,1.7565,1.90956,0.00124381,0.00124381,0.00124381
7,316.887,1.97264,1.59156,1.66907,0.73518,0.51084,0.55628,0.24758,2.13875,1.70237,1.80699,0.00124257,0.00124257,0.00124257
8,355.269,2.00567,1.53508,1.67086,0.63036,0.42246,0.48791,0.2029,2.25155,1.86101,1.96796,0.00124134,0.00124134,0.00124134
9,394.941,2.00449,1.53445,1.65821,0.56319,0.56514,0.54396,0.21657,2.21681,1.9376,1.88531,0.0012401,0.0012401,0.0012401
10,434.787,1.95421,1.47258,1.61819,0.66852,0.5811,0.62862,0.29723,2.09776,1.63167,1.71798,0.00123886,0.00123886,0.00123886
11,474.212,1.92862,1.44491,1.60858,0.5851,0.54205,0.5659,0.25899,2.04311,1.83967,1.79062,0.00123763,0.00123763,0.00123763
12,512.782,1.92813,1.45028,1.63552,0.63182,0.57595,0.57525,0.26767,2.06796,1.62785,1.71843,0.00123639,0.00123639,0.00123639
13,552.907,1.90197,1.42313,1.62501,0.66916,0.5938,0.65946,0.31532,2.01947,1.49976,1.7224,0.00123515,0.00123515,0.00123515
14,590.945,1.87911,1.42643,1.63308,0.76305,0.62699,0.69112,0.31598,1.99062,1.29095,1.63673,0.00123391,0.00123391,0.00123391
15,631.592,1.88289,1.36725,1.58511,0.65361,0.69959,0.69217,0.31842,2.06004,1.23114,1.72681,0.00123268,0.00123268,0.00123268
